Timestamp,Age,What is your go-to source of entertainment?,"On average, how many hours in a day do you spend consuming media?"
2/8/2023 10:04:47,18,TV Shows,5
2/8/2023 10:46:24,20,TV Shows,3
2/8/2023 10:53:23,21,"Social Media (YouTube, Vimeo etc.)",4
2/8/2023 10:54:18,19,Anime,1
2/8/2023 11:04:42,19,"Social Media (YouTube, Vimeo etc.)",10
2/8/2023 12:13:33,20,"Social Media (YouTube, Vimeo etc.)",4
2/8/2023 12:15:36,18,Anime,4.5
2/8/2023 12:18:51,21,Anime,2
2/8/2023 12:20:36,46,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 12:21:36,19,Video Games,5
2/8/2023 12:23:18,18,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",2
2/8/2023 12:23:21,23,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 12:26:57,36,TV Shows,3
2/8/2023 12:29:00,62,TV Shows,4
2/8/2023 12:29:19,50,"Social Media (YouTube, Vimeo etc.)",3
2/8/2023 12:29:37,18,TV Shows,6
2/8/2023 12:30:13,7,TV Shows,1
2/8/2023 12:32:48,31,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",1
2/8/2023 12:36:06,40,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",2
2/8/2023 12:39:39,18,Anime,8
2/8/2023 12:41:13,5,TV Shows,1
2/8/2023 12:50:54,38,"Social Media (YouTube, Vimeo etc.)",3
2/8/2023 12:59:03,24,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 13:00:56,20,"Social Media (YouTube, Vimeo etc.)",5
2/8/2023 13:11:06,18,"Social Media (YouTube, Vimeo etc.)",3
2/8/2023 13:18:13,22,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",3
2/8/2023 13:18:21,26,TV Shows,1
2/8/2023 13:18:27,40,Movies,4
2/8/2023 13:18:51,26,TV Shows,3
2/8/2023 13:26:57,21,"Social Media (YouTube, Vimeo etc.)",5
2/8/2023 13:26:58,48,TV Shows,2
2/8/2023 13:27:54,26,Anime,2
2/8/2023 13:29:13,24,"Social Media (YouTube, Vimeo etc.)",5
2/8/2023 13:30:09,24,"Social Media (YouTube, Vimeo etc.)",3
2/8/2023 13:32:52,22,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",13
2/8/2023 13:38:07,49,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 13:42:47,44,Movies,4
2/8/2023 13:45:32,17,"Social Media (YouTube, Vimeo etc.)",5
2/8/2023 13:46:14,45,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",1
2/8/2023 13:48:20,41,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",3
2/8/2023 13:51:08,33,TV Shows,3
2/8/2023 13:54:20,19,TV Shows,4
2/8/2023 14:02:57,43,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 14:22:30,17,TV Shows,7
2/8/2023 14:33:14,21,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 15:13:25,17,TV Shows,3
2/8/2023 15:14:02,18,Anime,3
2/8/2023 15:16:06,33,TV Shows,2
2/8/2023 15:21:48,17,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",5
2/8/2023 15:24:30,12,"Social Media (YouTube, Vimeo etc.)",3
2/8/2023 15:29:08,17,TV Shows,4
2/8/2023 15:35:28,17,"Social Media (YouTube, Vimeo etc.)",8
2/8/2023 15:35:41,17,"Social Media (YouTube, Vimeo etc.)",8
2/8/2023 15:51:08,45,TV Shows,2
2/8/2023 16:06:52,38,"Social Media (YouTube, Vimeo etc.)",6
2/8/2023 16:08:54,19,"Social Media (YouTube, Vimeo etc.)",1
2/8/2023 16:09:20,14,"Social Media (YouTube, Vimeo etc.)",4
2/8/2023 16:14:01,20,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",0.8
2/8/2023 17:42:42,20,Anime,10
2/8/2023 17:53:56,33,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 18:06:59,20,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",8
2/8/2023 18:14:45,20,Movies,2
2/8/2023 18:20:55,22,Video Games,5
2/8/2023 18:24:38,19,Movies,2
2/8/2023 18:25:47,48,TV Shows,3
2/8/2023 18:33:22,45,"Social Media (YouTube, Vimeo etc.)",3
2/8/2023 18:45:09,8,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",5
2/8/2023 18:57:45,58,TV Shows,2
2/8/2023 18:58:31,16,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",1.5
2/8/2023 19:01:47,15,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",4
2/8/2023 19:18:41,21,"Social Media (YouTube, Vimeo etc.)",6
2/8/2023 19:35:40,21,Video Games,12
2/8/2023 19:51:58,20,"Social Media (YouTube, Vimeo etc.)",3
2/8/2023 19:56:26,20,Movies,5
2/8/2023 19:56:26,19,Video Games,1
2/8/2023 20:00:56,23,"Social Media (YouTube, Vimeo etc.)",2
2/8/2023 20:22:24,19,"Social Media (YouTube, Vimeo etc.)",4
2/8/2023 20:26:30,21,Video Games,4
2/8/2023 20:29:21,19,"Social Media (YouTube, Vimeo etc.)",5
2/8/2023 20:48:16,22,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",3
2/8/2023 20:50:23,20,Anime,2
2/8/2023 21:46:10,21,"Social Media (YouTube, Vimeo etc.)",6
2/8/2023 22:14:07,69,TV Shows,2
2/8/2023 22:41:45,21,"Social Media (YouTube, Vimeo etc.)",6
2/8/2023 22:47:15,40,TV Shows,3
2/8/2023 23:45:14,34,Movies,3
2/9/2023 2:35:57,73,TV Shows,5
2/9/2023 6:58:21,38,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",3
2/9/2023 9:18:25,21,Video Games,5
2/9/2023 10:50:46,69,Movies,1
2/9/2023 11:15:45,20,Video Games,4
2/9/2023 23:24:04,23,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",3
2/9/2023 23:32:40,21,"Social Media (YouTube, Vimeo etc.)",5
2/9/2023 23:32:51,21,TV Shows,2
2/9/2023 23:33:02,22,"Shorts Based Content (TikTok, YouTube Shorts, Instagram Reels etc.)",7
2/9/2023 23:43:03,25,Anime,13
2/9/2023 23:49:36,42,"Social Media (YouTube, Vimeo etc.)",2
2/10/2023 0:04:50,23,TV Shows,4
2/10/2023 0:56:01,22,TV Shows,5
2/10/2023 5:29:41,22,"Social Media (YouTube, Vimeo etc.)",5
2/10/2023 6:57:50,21,"Social Media (YouTube, Vimeo etc.)",6
2/10/2023 11:25:10,25,Anime,20
2/10/2023 13:25:12,23,TV Shows,4